Image,PSNR,SSIM,MAE
Patient_001_2,37.35746210176386,0.9865004085144832,0.0016259486379187088
Patient_001_3,38.94803653556937,0.9897510608589767,0.0012346654156454248
Patient_001_4,39.36774747441276,0.9867635198492056,0.001281359304789624
Patient_001_5,38.17374709159935,0.9851071916290177,0.001528890771803513
Patient_001_6,38.56065423717507,0.9870729235371872,0.0013731314465890525
Patient_002_1,33.823560223819754,0.9796366008061906,0.002789545994178921
Patient_002_2,31.02784009794785,0.975547984769992,0.004064263237847222
Patient_002_3,34.58034507770818,0.9831666405434545,0.002290932649101307
Patient_003_1,35.25356315004399,0.9807816386501841,0.0022138408586090687
Patient_003_2,34.045825443291356,0.9733577570561458,0.0032271640752655237
Patient_003_3,35.71515707593547,0.9816236285137921,0.0023824255450878274
Patient_003_4,36.80441681687279,0.982651650411866,0.0020422841988357843
Patient_004_2,35.78541745427622,0.9802601356366037,0.002205982083588644
Patient_004_3,34.23660368185552,0.9807857378836077,0.002622576944189134
Patient_005_4,31.0899523520151,0.9689607232641541,0.00391488667407067
Patient_005_5,33.9416004770953,0.9734471506071368,0.003012164745455474
Patient_006_5,30.639337676097607,0.9709000760318077,0.004426205703635621
Patient_006_6,30.079575438938054,0.9673353048068813,0.004631610945159313
Patient_007_5,31.695677460285,0.9578233026841122,0.00506085165185866
Patient_007_6,33.51555083427207,0.9606504354366218,0.003915784249897875
Patient_007_7,32.52560012457303,0.9675393277056785,0.0036583794487847214
Patient_008_1,30.245695669952262,0.9549461422999072,0.005378533656301061
Patient_008_2,29.15081516614725,0.9573211602680584,0.006999954522824756
Patient_008_3,28.810292556340574,0.9556475364428075,0.006314864813112744
Patient_009_1,32.6816188889954,0.9771079922362729,0.003538164126327615
Patient_009_5,35.348060145772095,0.9776180585341147,0.0027159447763480393
Patient_009_6,34.792793292206156,0.9771896827323716,0.0027901643241932186
Patient_010_5,31.322130087388555,0.9756570276711645,0.003742392546211193
Patient_010_6,29.986689756428095,0.967684577556546,0.005012960994944853
Patient_011_4,27.81397150809893,0.9596795627529174,0.006663503210529002
Patient_011_5,28.7614917167088,0.9456848141794442,0.008186749227685867
Patient_011_6,29.690092376386545,0.9608151235180581,0.005822873583026959
Patient_012_1,29.140015198271676,0.9570673010245038,0.006304113849315767
Patient_012_2,28.407587648529677,0.9437436855418574,0.00830608692044526
Patient_012_3,29.758186790877748,0.9595821328539144,0.005564551259957108
Patient_013_4,29.207731859629845,0.9578651298393969,0.006771710963031047
Patient_013_5,30.83832982956413,0.9672192588795198,0.004463445127399917
Patient_013_6,30.189481021411396,0.9664885181488917,0.0050791621987336605
Patient_014_3,33.27656723062858,0.9687627882385792,0.0038892758438010618
Patient_014_4,32.87504349495685,0.9710267891575902,0.003794850866779003
Patient_015_5,31.205142598939744,0.9686258938614812,0.004336627636080474
Patient_015_6,34.14420306163549,0.9767275245103835,0.0025257783777573525
Patient_015_7,28.941827201554304,0.9594291747514085,0.006037314421211192
Patient_016_3,30.56795534230712,0.9630311914532216,0.004870525684232026
Patient_017_4,31.379800110878705,0.967766947332317,0.0040532529743668305
Patient_017_5,32.403824488370155,0.9656596132894143,0.003951747121374592
Patient_017_6,33.11482480287387,0.9745523062656877,0.0031276328890931376
Patient_017_7,32.63282247796197,0.9715018572473443,0.0034203423394097224
Patient_018_6,23.110189042177907,0.937688719728294,0.027225130367902372
Patient_018_7,34.20873370112537,0.9729541380089305,0.0030366785386029414
Patient_018_8,33.7018345481465,0.9686013732902353,0.0034706065857332525
Patient_019_1,33.19301774364388,0.9744654919930779,0.003306130801930147
Patient_019_3,30.492266322554144,0.9619020776878459,0.005462726268892974
Patient_020_3,31.65143331253301,0.9729366624331749,0.0037100000319138077
Patient_021_5,31.285229500532843,0.9677543671698343,0.004258458754595588
Patient_022_1,31.598016822289665,0.968632791422119,0.0037907220179738566
Patient_022_2,31.595741088803422,0.9708483347872244,0.00374404807495915
Patient_022_3,33.26961998238546,0.9749077506793141,0.0031154657501021245
Patient_023_2,32.31141491074153,0.9768726585158435,0.0031526652816074342
Patient_023_3,34.28306043509678,0.9803101941599476,0.002419405669168709
