Image,PSNR,SSIM,MAE
Patient_025_6,31.819103900827763,0.9751697449290337,0.0035608428755616833
Patient_001_2_aug_2,37.95953406758255,0.989545527264835,0.0016810996859681368
Patient_026_2,40.81936528638608,0.9904447853435475,0.0010759341171364379
Patient_013_5,37.298833013367414,0.9867190347977374,0.0022038677938623365
Patient_001_5_aug_2,37.95728159803918,0.9825956982514049,0.0015620811312806373
Patient_027_5_aug_3,33.784836511182036,0.9786575232720529,0.0053802290773080075
Patient_027_6_aug_3,30.76859352462202,0.9167658987767195,0.008018204433466092
Patient_028_10,34.952727642853446,0.9825105589772093,0.002733317855136846
Patient_028_10_aug_1,32.76855004564104,0.9613294998610455,0.004287859349468954
Patient_028_10_aug_3,30.139114761551625,0.9355350418438902,0.0078056584775837426
Patient_028_1_aug_3,33.53777497660721,0.9848870972813377,0.0033044353809232024
Patient_028_8_aug_1,36.17766203656646,0.976669491750933,0.0025962879455167487
Patient_028_9_aug_2,37.68794191766958,0.9857040727626346,0.0022230958626940356
Patient_028_9_aug_3,33.18246455883648,0.9741972855203472,0.0038242315155228757
Patient_015_6_aug_3,32.235956912176306,0.9603044892059555,0.004846909466911765
Patient_003_3,38.785592557789165,0.989919080434276,0.001383044672947304
Patient_016_3,32.82610539736493,0.9731667246176615,0.003450800079146242
Patient_016_3_aug_1,30.255585017268846,0.9513809233896575,0.006779170815461603
Patient_029_6_aug_2,37.02931154215588,0.9876633072877162,0.0020840513939950982
Patient_003_4_aug_3,36.72501765478865,0.9853080465816889,0.0020584006714665032
Patient_030_6,41.226482142631355,0.9932680686424957,0.000813223645578023
Patient_017_5_aug_2,28.8995569917072,0.9630009773795875,0.006928547379238155
Patient_004_3_aug_2,36.007116614772904,0.9867386120998601,0.0022441988676981206
Patient_005_5,35.252522383707706,0.9822170744854463,0.002217391269658905
Patient_032_1_aug_1,34.20135719702334,0.975638345412506,0.0036753934972426467
Patient_032_1_aug_3,33.796374911539296,0.984825455240974,0.003150211907679737
Patient_032_5,41.08839697365838,0.9923478974337775,0.0008504830154718138
Patient_018_7_aug_3,31.778356028112253,0.9501309713622396,0.006085344701031452
Patient_018_8_aug_1,34.888167290438396,0.9748278973930056,0.0027765610638786765
Patient_019_1_aug_1,33.538556005484665,0.962415179811725,0.00378884708180147
Patient_007_6,35.50691608645659,0.977307632668734,0.0027624192580678105
Patient_008_1_aug_1,29.850289770848395,0.942963295289514,0.006331041124131944
Patient_020_3,35.192143931870106,0.9858450160121316,0.0021004870046977125
Patient_020_3_aug_1,30.602072191467286,0.9818157210994084,0.003939799389808006
Patient_008_2_aug_1,31.47400499017129,0.9643089723588728,0.007735168855953843
Patient_008_3_aug_1,31.44917803226161,0.95664116730623,0.004898649726817811
Patient_009_5_aug_1,37.064880207051345,0.9834514167752775,0.003291590073529409
Patient_009_6_aug_2,39.831892447886204,0.9865022735866423,0.0013667087928921568
Patient_010_5_aug_1,34.00000283688581,0.9777855424094849,0.003148536432802288
Patient_010_5_aug_2,31.182899185755637,0.9607965686541617,0.006128169041053924
Patient_010_5_aug_3,30.75236521963094,0.9767509961577359,0.00442044127221201
Patient_024_5_aug_1,31.899584185194808,0.9583452897574037,0.004780588586345996
Patient_011_5,32.99797839197477,0.9717163334855096,0.004148575527216094
Patient_024_6,38.271478305672886,0.9876277513511784,0.0015952116523692808
Patient_011_5_aug_2,28.01600254294169,0.9529876329037008,0.01034414253982843
Patient_011_5_aug_3,26.211978687709234,0.9400736669315192,0.01104726355060253
Patient_024_6_aug_3,32.08994097679594,0.9446208930132182,0.006941572201797384
Patient_024_5_aug_3,28.22086488377751,0.9356263504861815,0.008304949991064134
Patient_025_5,35.52896186151254,0.9770492435895962,0.0026843301611008986
