Image,PSNR,SSIM,MAE
Patient_025_6,30.6721162675373,0.9711654529999366,0.004218466764961193
Patient_001_2_aug_2,34.77161654394096,0.986630413813037,0.002208714703329249
Patient_026_2,38.05897865355379,0.9855588109916452,0.0013932371451184638
Patient_013_5,31.922708961929818,0.9774106948439947,0.003422436683006536
Patient_001_5_aug_2,34.50265553101617,0.9766505899863555,0.0024495043785743467
Patient_027_5_aug_3,25.501239000163434,0.9609796124505924,0.011433640025020425
Patient_027_6_aug_3,22.65036755422843,0.8965000299632324,0.019835528205422795
Patient_028_10,31.607505015821587,0.9812813327148819,0.0032008551304636436
Patient_028_10_aug_1,29.230513164817317,0.9530554476838003,0.0061489928002450974
Patient_028_10_aug_3,25.775184344598244,0.9304333226289567,0.013384710573682597
Patient_028_1_aug_3,26.532806368940825,0.9733479336991874,0.006616410398794932
Patient_028_8_aug_1,30.317389299109717,0.967207220248477,0.00468035928564134
Patient_028_9_aug_2,32.69273112362662,0.9797385202321646,0.0035130918415543296
Patient_028_9_aug_3,27.406297751467843,0.9672740995048298,0.006858496572457108
Patient_015_6_aug_3,18.654371771605764,0.9198631316000161,0.032849938885059236
Patient_003_3,35.83048999119817,0.9853119861887416,0.0019188176572712415
Patient_016_3,32.249539265478695,0.9706487214745474,0.003608254825367647
Patient_016_3_aug_1,25.0090324771257,0.9315312060364186,0.014378626206341909
Patient_029_6_aug_2,33.74556971523433,0.9844550224188544,0.0025045158037173203
Patient_003_4_aug_3,29.761596563604535,0.9719768103770368,0.0046741560393688715
Patient_030_6,38.205157513077154,0.9887270390524013,0.001174627565870098
Patient_017_5_aug_2,23.085866974984597,0.948833095867689,0.012602842243668302
Patient_004_3_aug_2,33.115257712532426,0.9789508525781696,0.0030701481438929735
Patient_005_5,34.138877497716585,0.9785435696111237,0.0025804108264399508
Patient_032_1_aug_1,28.185470816804322,0.9637977335346753,0.007471121993719362
Patient_032_1_aug_3,25.396002788136308,0.9655462056698365,0.009132594688265926
Patient_032_5,36.650223807531944,0.9874558751226008,0.0015307258157169117
Patient_018_7_aug_3,26.568530138892758,0.9331598384596186,0.010255860970690358
Patient_018_8_aug_1,32.94469171759239,0.9684790429464213,0.0035456040326286766
Patient_019_1_aug_1,26.358599932471645,0.9517964820709234,0.007512929081137664
Patient_007_6,34.46185470399665,0.9710535643114214,0.0029026006561478756
Patient_008_1_aug_1,27.08343506696234,0.9314157292131505,0.007928406958486518
Patient_020_3,33.057949749809595,0.9817109142938375,0.0024401496438419116
Patient_020_3_aug_1,28.828155094191203,0.978565225738806,0.003873757755055147
Patient_008_2_aug_1,27.76533829269814,0.9496168799325403,0.009513825061274506
Patient_008_3_aug_1,26.49645758510653,0.9459161026157082,0.008025365093954248
Patient_009_5_aug_1,18.022803380419525,0.9249686368323934,0.03374737508935866
Patient_009_6_aug_2,38.73910006340011,0.9877156802152006,0.0014830346200980392
Patient_010_5_aug_1,30.307336132603794,0.9721206071894829,0.004342272390727124
Patient_010_5_aug_2,14.521543804104791,0.904490786339923,0.050153266059027785
Patient_010_5_aug_3,20.783117992219758,0.9640593005221202,0.01294061000051062
Patient_024_5_aug_1,27.990895890165937,0.9522206268062482,0.007092763863357842
Patient_011_5,28.79819133282727,0.960883085166107,0.006715542662377452
Patient_024_6,34.26058623159048,0.9828564692923739,0.0023825851141237747
Patient_011_5_aug_2,19.635219844294564,0.9199390347686217,0.025869890599468953
Patient_011_5_aug_3,20.779380900506496,0.9164348309304066,0.022914791730494283
Patient_024_6_aug_3,20.27465778743521,0.9113692873258405,0.027105453590941585
Patient_024_5_aug_3,24.96149785084932,0.9074232659923442,0.014604934991574755
Patient_025_5,31.418796930449183,0.9686934416727918,0.003974505655126633
